[2024-06-11 23:04:57] local.DEBUG: ====  
[2024-06-18 17:45:22] local.DEBUG: failure  
[2024-06-18 17:45:34] local.DEBUG: failure  
[2024-06-18 17:45:35] local.DEBUG: failure  
[2024-06-18 17:45:37] local.DEBUG: failure  
[2024-06-18 17:45:37] local.DEBUG: failure  
[2024-06-18 17:45:42] local.DEBUG: failure  
[2024-06-18 17:45:42] local.DEBUG: failure  
[2024-06-18 17:45:44] local.DEBUG: failure  
[2024-06-18 17:45:44] local.DEBUG: failure  
[2024-06-18 17:45:47] local.DEBUG: failure  
[2024-06-18 17:45:47] local.DEBUG: failure  
[2024-06-18 17:45:50] local.DEBUG: failure  
[2024-06-18 17:45:50] local.DEBUG: failure  
[2024-06-18 17:45:50] local.DEBUG: failure  
[2024-06-18 17:46:38] local.DEBUG: failure  
[2024-06-18 17:46:38] local.DEBUG: failure  
[2024-06-18 17:46:38] local.DEBUG: failure  
[2024-06-18 17:46:38] local.DEBUG: failure  
[2024-06-18 17:46:38] local.DEBUG: failure  
[2024-06-18 17:46:38] local.DEBUG: failure  
[2024-06-18 17:46:38] local.DEBUG: failure  
[2024-06-18 17:46:38] local.DEBUG: failure  
[2024-06-18 17:46:38] local.DEBUG: failure  
[2024-06-18 17:46:38] local.DEBUG: failure  
[2024-06-18 17:46:38] local.DEBUG: failure  
[2024-06-18 17:46:38] local.DEBUG: failure  
[2024-06-18 17:46:38] local.DEBUG: failure  
[2024-06-18 17:46:38] local.DEBUG: failure  
[2024-06-18 17:46:38] local.DEBUG: failure  
[2024-06-18 17:46:38] local.DEBUG: failure  
[2024-06-18 17:46:38] local.DEBUG: failure  
[2024-06-18 17:46:38] local.DEBUG: failure  
[2024-06-18 17:46:42] local.DEBUG: failure  
[2024-06-18 17:46:42] local.DEBUG: failure  
[2024-06-18 17:46:42] local.DEBUG: failure  
[2024-06-18 17:46:49] local.DEBUG: failure  
[2024-06-18 17:46:49] local.DEBUG: failure  
[2024-06-18 17:46:49] local.DEBUG: failure  
[2024-06-18 17:46:49] local.DEBUG: failure  
[2024-06-18 17:46:49] local.DEBUG: failure  
[2024-06-18 17:46:49] local.DEBUG: failure  
[2024-06-18 17:46:49] local.DEBUG: failure  
[2024-06-18 17:46:49] local.DEBUG: failure  
[2024-06-18 17:46:49] local.DEBUG: failure  
[2024-06-18 17:46:49] local.DEBUG: failure  
[2024-06-18 17:46:49] local.DEBUG: failure  
[2024-06-18 17:46:49] local.DEBUG: failure  
[2024-06-18 17:46:49] local.DEBUG: failure  
[2024-06-18 17:46:49] local.DEBUG: failure  
[2024-06-18 17:46:49] local.DEBUG: failure  
[2024-06-18 17:46:49] local.DEBUG: failure  
[2024-06-18 17:46:49] local.DEBUG: failure  
[2024-06-18 17:46:49] local.DEBUG: failure  
[2024-06-18 17:48:59] local.DEBUG: failure  
[2024-06-18 17:48:59] local.DEBUG: failure  
[2024-06-18 17:48:59] local.DEBUG: failure  
[2024-06-18 17:54:51] local.DEBUG: failure  
[2024-06-18 17:54:51] local.DEBUG: failure  
[2024-06-18 17:54:51] local.DEBUG: failure  
[2024-06-18 17:58:01] local.DEBUG: failure  
[2024-06-18 17:58:01] local.DEBUG: failure  
[2024-06-18 17:58:01] local.DEBUG: failure  
[2024-06-18 18:01:40] local.DEBUG: failure  
[2024-06-18 18:01:40] local.DEBUG: failure  
[2024-06-18 18:01:40] local.DEBUG: failure  
[2024-06-18 18:10:01] local.DEBUG: failure  
[2024-06-18 18:10:01] local.DEBUG: failure  
[2024-06-18 18:10:01] local.DEBUG: failure  
[2024-06-18 18:10:31] local.DEBUG: failure  
[2024-06-18 18:10:31] local.DEBUG: failure  
[2024-06-18 18:10:31] local.DEBUG: failure  
[2024-06-18 18:10:31] local.DEBUG: failure  
[2024-06-18 18:10:31] local.DEBUG: failure  
[2024-06-18 18:10:31] local.DEBUG: failure  
[2024-06-18 18:10:31] local.DEBUG: failure  
[2024-06-18 18:10:31] local.DEBUG: failure  
[2024-06-18 18:10:31] local.DEBUG: failure  
[2024-06-18 18:10:31] local.DEBUG: failure  
[2024-06-18 18:10:31] local.DEBUG: failure  
[2024-06-18 18:10:31] local.DEBUG: failure  
[2024-06-18 18:10:31] local.DEBUG: failure  
[2024-06-18 18:10:31] local.DEBUG: failure  
[2024-06-18 18:10:31] local.DEBUG: failure  
[2024-06-18 18:10:31] local.DEBUG: failure  
[2024-06-18 18:10:31] local.DEBUG: failure  
[2024-06-18 18:10:31] local.DEBUG: failure  
[2024-06-18 18:10:32] local.DEBUG: failure  
[2024-06-18 18:10:32] local.DEBUG: failure  
[2024-06-18 18:10:32] local.DEBUG: failure  
[2024-06-18 18:11:46] local.DEBUG: failure  
[2024-06-18 18:11:46] local.DEBUG: failure  
[2024-06-18 18:11:46] local.DEBUG: failure  
[2024-06-18 19:09:37] local.DEBUG: failure  
[2024-06-18 19:09:37] local.DEBUG: failure  
[2024-06-18 19:09:37] local.DEBUG: failure  
[2024-06-18 19:09:37] local.DEBUG: failure  
[2024-06-18 19:09:37] local.DEBUG: failure  
[2024-06-18 19:09:37] local.DEBUG: failure  
[2024-06-18 19:09:37] local.DEBUG: failure  
[2024-06-18 19:09:37] local.DEBUG: failure  
[2024-06-18 19:09:37] local.DEBUG: failure  
[2024-06-18 19:09:37] local.DEBUG: failure  
[2024-06-18 19:09:37] local.DEBUG: failure  
[2024-06-18 19:09:37] local.DEBUG: failure  
[2024-06-18 19:09:37] local.DEBUG: failure  
[2024-06-18 19:09:37] local.DEBUG: failure  
[2024-06-18 19:09:37] local.DEBUG: failure  
[2024-06-18 19:09:37] local.DEBUG: failure  
[2024-06-18 19:09:37] local.DEBUG: failure  
[2024-06-18 19:09:37] local.DEBUG: failure  
[2024-06-18 19:09:39] local.DEBUG: failure  
[2024-06-18 19:09:39] local.DEBUG: failure  
[2024-06-18 19:09:39] local.DEBUG: failure  
[2024-06-18 19:09:45] local.DEBUG: failure  
[2024-06-18 19:09:45] local.DEBUG: failure  
[2024-06-18 19:09:45] local.DEBUG: failure  
[2024-06-18 19:09:45] local.DEBUG: failure  
[2024-06-18 19:09:45] local.DEBUG: failure  
[2024-06-18 19:09:45] local.DEBUG: failure  
[2024-06-18 19:09:45] local.DEBUG: failure  
[2024-06-18 19:09:45] local.DEBUG: failure  
[2024-06-18 19:09:45] local.DEBUG: failure  
[2024-06-18 19:09:45] local.DEBUG: failure  
[2024-06-18 19:09:45] local.DEBUG: failure  
[2024-06-18 19:09:45] local.DEBUG: failure  
[2024-06-18 19:09:45] local.DEBUG: failure  
[2024-06-18 19:09:45] local.DEBUG: failure  
[2024-06-18 19:09:45] local.DEBUG: failure  
[2024-06-18 19:09:45] local.DEBUG: failure  
[2024-06-18 19:09:45] local.DEBUG: failure  
[2024-06-18 19:09:45] local.DEBUG: failure  
[2024-06-18 19:09:46] local.DEBUG: failure  
[2024-06-18 19:09:46] local.DEBUG: failure  
[2024-06-18 19:09:46] local.DEBUG: failure  
[2024-06-18 19:09:49] local.DEBUG: failure  
[2024-06-18 19:11:46] local.DEBUG: failure  
[2024-06-18 19:11:51] local.DEBUG: failure  
[2024-06-18 19:13:10] local.DEBUG: failure  
[2024-07-15 09:07:53] local.DEBUG: failure  
[2024-07-15 09:08:27] local.DEBUG: failure  
[2024-07-15 09:10:16] local.DEBUG: failure  
